,Tokens,Occurences
335,perform,"[('1Amy.txt', 1), ('2Ben.txt', 1)]"
336,sim,"[('2Ben.txt', 1)]"
337,mentorship,"[('3Carrie.txt', 1)]"
338,beginn,"[('3Carrie.txt', 1)]"
339,determin,"[('2Ben.txt', 1)]"
340,bsc,"[('2Ben.txt', 1)]"
341,agreement,"[('2Ben.txt', 4), ('3Carrie.txt', 1)]"
342,nsf,"[('1Amy.txt', 2)]"
343,net,"[('2Ben.txt', 1), ('3Carrie.txt', 2)]"
344,owner,"[('2Ben.txt', 2)]"
345,version,"[('1Amy.txt', 3), ('2Ben.txt', 1), ('3Carrie.txt', 1)]"
346,pte,"[('1Amy.txt', 1), ('2Ben.txt', 4), ('3Carrie.txt', 3)]"
347,p,"[('2Ben.txt', 2)]"
348,sea,"[('2Ben.txt', 1)]"
349,product,"[('1Amy.txt', 4), ('2Ben.txt', 3), ('3Carrie.txt', 1)]"
350,commun,"[('1Amy.txt', 1), ('2Ben.txt', 2)]"
351,port,"[('2Ben.txt', 1)]"
352,eastern,"[('2Ben.txt', 1)]"
353,present,"[('1Amy.txt', 1), ('2Ben.txt', 1), ('3Carrie.txt', 1)]"
354,statement,"[('1Amy.txt', 1), ('2Ben.txt', 1), ('3Carrie.txt', 5)]"
355,line,"[('2Ben.txt', 3)]"
356,regiment,"[('1Amy.txt', 1)]"
357,respect,"[('3Carrie.txt', 1)]"
358,servic,"[('1Amy.txt', 1), ('2Ben.txt', 4), ('3Carrie.txt', 2)]"
359,taken,"[('3Carrie.txt', 1)]"
360,across,"[('3Carrie.txt', 1)]"
361,gce,"[('1Amy.txt', 1)]"
362,juli,"[('1Amy.txt', 1)]"
363,addit,"[('2Ben.txt', 1)]"
364,schedul,"[('1Amy.txt', 1)]"
365,broker,"[('1Amy.txt', 1), ('2Ben.txt', 1)]"
366,convers,"[('2Ben.txt', 2)]"
367,reconcili,"[('1Amy.txt', 4), ('2Ben.txt', 3), ('3Carrie.txt', 1)]"
368,creat,"[('1Amy.txt', 4), ('2Ben.txt', 2), ('3Carrie.txt', 3)]"
369,upgrad,"[('3Carrie.txt', 1)]"
370,profil,"[('1Amy.txt', 1)]"
371,2009,"[('1Amy.txt', 1), ('3Carrie.txt', 1)]"
372,bloomberg,"[('1Amy.txt', 1), ('3Carrie.txt', 1)]"
373,request,"[('2Ben.txt', 1), ('3Carrie.txt', 1)]"
374,learner,"[('1Amy.txt', 1)]"
375,driven,"[('1Amy.txt', 1)]"
376,contract,"[('2Ben.txt', 1)]"
377,experi,"[('1Amy.txt', 2), ('3Carrie.txt', 1)]"
378,system,"[('2Ben.txt', 3), ('3Carrie.txt', 1)]"
379,battalion,"[('1Amy.txt', 2)]"
